##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_2_IDT8_UDI_024_i7-IDT8_UDI_024_i5_6797-RN-0001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363012251
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.17139791791765	37.0	37.0	37.0	25.0	37.0
2	35.43734537763575	37.0	37.0	37.0	37.0	37.0
3	35.49968364015351	37.0	37.0	37.0	37.0	37.0
4	35.54866722941535	37.0	37.0	37.0	37.0	37.0
5	35.59867349215165	37.0	37.0	37.0	37.0	37.0
6	35.59474721694723	37.0	37.0	37.0	37.0	37.0
7	35.5907360713289	37.0	37.0	37.0	37.0	37.0
8	35.53587020951532	37.0	37.0	37.0	37.0	37.0
9	35.55525812543445	37.0	37.0	37.0	37.0	37.0
10-14	35.55888755886643	37.0	37.0	37.0	37.0	37.0
15-19	35.563659825904885	37.0	37.0	37.0	37.0	37.0
20-24	35.53074344424811	37.0	37.0	37.0	37.0	37.0
25-29	35.42008547584803	37.0	37.0	37.0	37.0	37.0
30-34	35.35018978353985	37.0	37.0	37.0	37.0	37.0
35-39	35.28521846443139	37.0	37.0	37.0	37.0	37.0
40-44	35.22650590158733	37.0	37.0	37.0	32.2	37.0
45-49	35.18097572965932	37.0	37.0	37.0	27.4	37.0
50-54	35.11244766502384	37.0	37.0	37.0	25.0	37.0
55-59	34.93137597276297	37.0	37.0	37.0	25.0	37.0
60-64	34.89840871899389	37.0	37.0	37.0	25.0	37.0
65-69	34.87326798069964	37.0	37.0	37.0	25.0	37.0
70-74	34.794245391459256	37.0	37.0	37.0	25.0	37.0
75-79	34.714729769271614	37.0	37.0	37.0	25.0	37.0
80-84	34.622091021385394	37.0	37.0	37.0	25.0	37.0
85-89	34.60800906082919	37.0	37.0	37.0	25.0	37.0
90-94	34.50890848364234	37.0	37.0	37.0	25.0	37.0
95-99	34.42781051210308	37.0	37.0	37.0	25.0	37.0
100-104	34.368929105370604	37.0	37.0	37.0	25.0	37.0
105-109	34.23264318646921	37.0	37.0	37.0	25.0	37.0
110-114	34.210593501429784	37.0	37.0	37.0	25.0	37.0
115-119	34.13493047483954	37.0	37.0	37.0	25.0	37.0
120-124	34.04166067717644	37.0	37.0	37.0	25.0	37.0
125-129	33.920220069377216	37.0	37.0	37.0	25.0	37.0
130-134	33.75114904372745	37.0	37.0	37.0	25.0	37.0
135-139	33.712436873652514	37.0	37.0	37.0	25.0	37.0
140-144	33.626418062127605	37.0	37.0	37.0	25.0	37.0
145-149	33.50581690809107	37.0	37.0	37.0	25.0	37.0
150-151	33.10649845809198	37.0	37.0	37.0	18.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.045644105586703176
1101	2	0.07046423497668997
1101	3	-0.0023411069131498152
1101	4	0.054846275886092144
1101	5	0.0290021300228247
1101	6	-0.042152207426532584
1101	7	0.04432586709536679
1101	8	0.0880815393021237
1101	9	0.11995060659420886
1101	10-14	0.06197214450921251
1101	15-19	0.0569672178331615
1101	20-24	0.07703277222451987
1101	25-29	0.06755533817291592
1101	30-34	0.06397626904130504
1101	35-39	0.1066987554615153
1101	40-44	0.13205244077782652
1101	45-49	0.08200556786470514
1101	50-54	0.10626020270058234
1101	55-59	0.18060794891524523
1101	60-64	0.18411672067016838
1101	65-69	0.14659795435294143
1101	70-74	0.22611299216050185
1101	75-79	0.1697992576408609
1101	80-84	0.20803091698852683
1101	85-89	0.24703328052246576
1101	90-94	0.298668367108597
1101	95-99	0.2540366546986519
1101	100-104	0.32668758635033157
1101	105-109	0.33290346105858504
1101	110-114	0.33902477171868384
1101	115-119	0.3275934360114192
1101	120-124	0.36338353200298457
1101	125-129	0.43621833882470895
1101	130-134	0.4976633848634293
1101	135-139	0.4718563565036078
1101	140-144	0.5015521469977884
1101	145-149	0.5192668896438235
1101	150-151	0.6573318748316908
1102	1	-0.060240115030076424
1102	2	0.01583339552282581
1102	3	-0.03283110016361945
1102	4	0.03503853342443364
1102	5	0.005953185127751226
1102	6	-0.022662361177388846
1102	7	0.013582227755932763
1102	8	0.08426657064102017
1102	9	0.03311850610375444
1102	10-14	0.0348015217020361
1102	15-19	0.0012048544220988333
1102	20-24	0.062107182573406305
1102	25-29	0.032774088563776616
1102	30-34	0.024399667343395492
1102	35-39	0.07139681369424267
1102	40-44	0.10103018866373503
1102	45-49	0.06808664409945209
1102	50-54	0.058147988956577024
1102	55-59	0.1300331650544706
1102	60-64	0.14619299546507136
1102	65-69	0.11038870348138374
1102	70-74	0.16888574774778675
1102	75-79	0.12852960442188532
1102	80-84	0.15859440669763103
1102	85-89	0.20195306825107195
1102	90-94	0.21189832109428863
1102	95-99	0.17334016394136142
1102	100-104	0.25717192357001295
1102	105-109	0.2868929315066211
1102	110-114	0.2552918822688923
1102	115-119	0.2555559413724069
1102	120-124	0.28390162921694895
1102	125-129	0.37485176944682763
1102	130-134	0.4424185995751415
1102	135-139	0.3892541442627504
1102	140-144	0.43245365426037097
1102	145-149	0.48929153729068275
1102	150-151	0.5860431487421849
1103	1	-0.060118420139680495
1103	2	0.04711077740741132
1103	3	0.08425099614223086
1103	4	0.08179701299767572
1103	5	0.0029658958462519536
1103	6	0.06089359284997187
1103	7	0.016060590490965865
1103	8	0.10634827385191414
1103	9	0.11111348739557769
1103	10-14	0.05988374735845525
1103	15-19	0.09724711476916781
1103	20-24	0.1275577240475556
1103	25-29	0.11024093011192804
1103	30-34	0.089748569890439
1103	35-39	0.12308571375044863
1103	40-44	0.14001408499830603
1103	45-49	0.1655317320248173
1103	50-54	0.14165273245554033
1103	55-59	0.201315741957643
1103	60-64	0.23372431457656262
1103	65-69	0.17709544859551585
1103	70-74	0.2317023529335671
1103	75-79	0.21791927006123757
1103	80-84	0.28841748415609914
1103	85-89	0.2691083642017844
1103	90-94	0.324906922020503
1103	95-99	0.261679283574054
1103	100-104	0.3555056230012994
1103	105-109	0.3823604659767952
1103	110-114	0.34261749272698694
1103	115-119	0.32964262920687304
1103	120-124	0.3920678371802353
1103	125-129	0.5088452189825503
1103	130-134	0.5718617174739933
1103	135-139	0.5231959764451091
1103	140-144	0.5623330690965958
1103	145-149	0.5683268627118778
1103	150-151	0.6628107674259311
1104	1	-0.07810592755929946
1104	2	0.10375101351039007
1104	3	0.091025144246764
1104	4	0.05909322634830261
1104	5	0.03727859824064694
1104	6	9.153446500533846E-4
1104	7	0.03980520293896461
1104	8	0.09786349312471998
1104	9	0.013301850115965408
1104	10-14	0.07709280322654877
1104	15-19	0.10414179225222142
1104	20-24	0.10316064356744192
1104	25-29	0.06735503760793193
1104	30-34	0.06970663361001783
1104	35-39	0.09987130845532732
1104	40-44	0.12309510792034928
1104	45-49	0.14003843938172622
1104	50-54	0.12089975436101241
1104	55-59	0.1636215741196665
1104	60-64	0.18046756003722209
1104	65-69	0.19509644261326287
1104	70-74	0.19358315767562573
1104	75-79	0.20592477590664515
1104	80-84	0.24991886926831341
1104	85-89	0.21271528398131068
1104	90-94	0.2649290594253131
1104	95-99	0.24227819257233563
1104	100-104	0.2976198275827926
1104	105-109	0.31480448843934283
1104	110-114	0.28690803838318857
1104	115-119	0.2582632208993445
1104	120-124	0.32840552734239736
1104	125-129	0.4131302968648214
1104	130-134	0.5411416628870356
1104	135-139	0.4238155726715007
1104	140-144	0.4975297588817895
1104	145-149	0.5148419146877714
1104	150-151	0.6202122799911365
1105	1	-0.05074037452141056
1105	2	0.07809578953469298
1105	3	0.05226012922157253
1105	4	0.09254014052870474
1105	5	0.050004725585736765
1105	6	-0.0014578936548517163
1105	7	0.04336468839636609
1105	8	0.09323144317240661
1105	9	0.09477803187558465
1105	10-14	0.08891789144320228
1105	15-19	0.0761690325358444
1105	20-24	0.08760352044851061
1105	25-29	0.09353794362998258
1105	30-34	0.1012748460365458
1105	35-39	0.12130922002689459
1105	40-44	0.11865604836285115
1105	45-49	0.14833764717737097
1105	50-54	0.14003914406903561
1105	55-59	0.20319162918644906
1105	60-64	0.19845806572477187
1105	65-69	0.18015498772842875
1105	70-74	0.21716120792887494
1105	75-79	0.21627283604883019
1105	80-84	0.28486680761140093
1105	85-89	0.20634648082388907
1105	90-94	0.2789607389898947
1105	95-99	0.23368586048724183
1105	100-104	0.3240277442697561
1105	105-109	0.37283789174224324
1105	110-114	0.25253368562080425
1105	115-119	0.3354433224983069
1105	120-124	0.3417950323647787
1105	125-129	0.42088261254932746
1105	130-134	0.5216443541285614
1105	135-139	0.4516530815640394
1105	140-144	0.47405829693821744
1105	145-149	0.43594329166490553
1105	150-151	0.5996108742820567
1106	1	-0.04973216266238012
1106	2	0.1225695396757942
1106	3	0.07627397112852918
1106	4	0.11576614768160454
1106	5	0.07267574319406833
1106	6	0.036528996347968246
1106	7	0.03668157295309982
1106	8	0.14954368250058536
1106	9	0.09545876618346938
1106	10-14	0.08242215271675946
1106	15-19	0.07527620083792641
1106	20-24	0.1062803860220285
1106	25-29	0.09078606116924703
1106	30-34	0.07254240336518336
1106	35-39	0.12243384398647805
1106	40-44	0.12741252648687862
1106	45-49	0.13133604091134288
1106	50-54	0.12664615881345753
1106	55-59	0.1822903593593992
1106	60-64	0.20738021659664696
1106	65-69	0.17782236905004112
1106	70-74	0.20884791726970775
1106	75-79	0.24150836179443758
1106	80-84	0.28247264247583104
1106	85-89	0.23108255161393743
1106	90-94	0.29977966188626937
1106	95-99	0.2400170065384799
1106	100-104	0.3301947155540148
1106	105-109	0.3481961155633897
1106	110-114	0.315627821101117
1106	115-119	0.3343903142834037
1106	120-124	0.34534933248844624
1106	125-129	0.410205294278704
1106	130-134	0.5236068135713126
1106	135-139	0.438151449748176
1106	140-144	0.502455312760894
1106	145-149	0.5386287417457893
1106	150-151	0.6435907920149901
1107	1	-0.07387625866810055
1107	2	-0.004544212385674484
1107	3	0.040905467677042395
1107	4	0.045143268219639765
1107	5	0.02193719005644823
1107	6	0.05814200295727545
1107	7	0.029975436480370377
1107	8	0.0945503588805181
1107	9	0.05784401462764066
1107	10-14	0.06418457759453844
1107	15-19	0.07061105139045765
1107	20-24	0.06607338904019855
1107	25-29	0.05411855230084939
1107	30-34	0.07823881972461066
1107	35-39	0.10962592143687289
1107	40-44	0.11825060262179221
1107	45-49	0.12358719212448932
1107	50-54	0.10996664056289518
