##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_2_IDT8_UDI_029_i7-IDT8_UDI_029_i5_6797-RN-0006.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	338333273
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.32594994285413	37.0	37.0	37.0	37.0	37.0
2	35.681069325392656	37.0	37.0	37.0	37.0	37.0
3	35.71424205150523	37.0	37.0	37.0	37.0	37.0
4	35.70774903064293	37.0	37.0	37.0	37.0	37.0
5	35.7233542679085	37.0	37.0	37.0	37.0	37.0
6	35.74012037533181	37.0	37.0	37.0	37.0	37.0
7	35.741672581519936	37.0	37.0	37.0	37.0	37.0
8	35.69563452010822	37.0	37.0	37.0	37.0	37.0
9	35.71759558510818	37.0	37.0	37.0	37.0	37.0
10-14	35.71567930594872	37.0	37.0	37.0	37.0	37.0
15-19	35.72048520453973	37.0	37.0	37.0	37.0	37.0
20-24	35.68746613106539	37.0	37.0	37.0	37.0	37.0
25-29	35.58532052506701	37.0	37.0	37.0	37.0	37.0
30-34	35.51908691936427	37.0	37.0	37.0	37.0	37.0
35-39	35.45876331944449	37.0	37.0	37.0	37.0	37.0
40-44	35.403628381533736	37.0	37.0	37.0	37.0	37.0
45-49	35.36111561631717	37.0	37.0	37.0	37.0	37.0
50-54	35.29722572630331	37.0	37.0	37.0	37.0	37.0
55-59	35.12485261832347	37.0	37.0	37.0	25.0	37.0
60-64	35.09570162849458	37.0	37.0	37.0	25.0	37.0
65-69	35.06933545197016	37.0	37.0	37.0	25.0	37.0
70-74	34.996853770867524	37.0	37.0	37.0	25.0	37.0
75-79	34.922013583925576	37.0	37.0	37.0	25.0	37.0
80-84	34.834786839306815	37.0	37.0	37.0	25.0	37.0
85-89	34.82090964372872	37.0	37.0	37.0	25.0	37.0
90-94	34.72700915407749	37.0	37.0	37.0	25.0	37.0
95-99	34.64991154505812	37.0	37.0	37.0	25.0	37.0
100-104	34.59318137060673	37.0	37.0	37.0	25.0	37.0
105-109	34.46429152003622	37.0	37.0	37.0	25.0	37.0
110-114	34.44111985344107	37.0	37.0	37.0	25.0	37.0
115-119	34.3699000701004	37.0	37.0	37.0	25.0	37.0
120-124	34.27854321558258	37.0	37.0	37.0	25.0	37.0
125-129	34.16329068823213	37.0	37.0	37.0	25.0	37.0
130-134	34.00030447493115	37.0	37.0	37.0	25.0	37.0
135-139	33.96122240865148	37.0	37.0	37.0	25.0	37.0
140-144	33.87660658430127	37.0	37.0	37.0	25.0	37.0
145-149	33.758825065366835	37.0	37.0	37.0	25.0	37.0
150-151	33.37594326704013	37.0	37.0	37.0	18.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.17914625936037964
1101	2	0.002317093680950677
1101	3	-0.09194540042605581
1101	4	-0.03499846676695029
1101	5	-0.03237137651638733
1101	6	-0.11212925691393849
1101	7	-0.04060777049722475
1101	8	-0.018264501604292604
1101	9	-0.008185377925840953
1101	10-14	-0.006522258205585274
1101	15-19	-0.01857486281036813
1101	20-24	-1.2092031691679495E-4
1101	25-29	-0.028738303156089273
1101	30-34	-0.025570286607241144
1101	35-39	0.011902966681013538
1101	40-44	0.017926151001731228
1101	45-49	-0.001995552384414623
1101	50-54	-0.004103903648122298
1101	55-59	0.09624134469483892
1101	60-64	0.08696464557498018
1101	65-69	0.04934548174168896
1101	70-74	0.13943228970286015
1101	75-79	0.07207693085516809
1101	80-84	0.1127328654619788
1101	85-89	0.14568425581004618
1101	90-94	0.16979900125896563
1101	95-99	0.1597558557752734
1101	100-104	0.21433580633055982
1101	105-109	0.22643548808255787
1101	110-114	0.2502850383303894
1101	115-119	0.2661043094098048
1101	120-124	0.28546677435127776
1101	125-129	0.35937720505893367
1101	130-134	0.41684282828497743
1101	135-139	0.3525490740970909
1101	140-144	0.4321972239711087
1101	145-149	0.4041952048533446
1101	150-151	0.5390057924488261
1102	1	-0.15300926983494634
1102	2	-0.03322339823213838
1102	3	-0.12179042225803727
1102	4	-0.08471015090972145
1102	5	-0.0012441936704519208
1102	6	-0.10435980342197126
1102	7	-0.05191655814761731
1102	8	-0.02040695988424801
1102	9	-0.03657317915336478
1102	10-14	-0.02067986966102353
1102	15-19	-0.028700173352739
1102	20-24	0.005792754510736131
1102	25-29	-0.025534168267434154
1102	30-34	-0.03275533538612052
1102	35-39	0.003163883293709091
1102	40-44	0.03023163229901371
1102	45-49	0.01316586899162786
1102	50-54	0.024970376285509133
1102	55-59	0.049132513949430745
1102	60-64	0.07700774938396648
1102	65-69	0.04726035536157269
1102	70-74	0.09591711342749676
1102	75-79	0.06311419301862031
1102	80-84	0.08351224976127014
1102	85-89	0.11436969281795228
1102	90-94	0.15804958399246516
1102	95-99	0.10376180363570597
1102	100-104	0.19959487830756473
1102	105-109	0.2048201319549321
1102	110-114	0.21471324397370495
1102	115-119	0.1791974948012367
1102	120-124	0.20944250382844842
1102	125-129	0.3077011335054607
1102	130-134	0.3863647966681967
1102	135-139	0.2970018926267528
1102	140-144	0.3593845809431073
1102	145-149	0.4159634684538318
1102	150-151	0.5165123387769128
1103	1	-0.130623345667928
1103	2	0.044385250403024656
1103	3	-0.026440547494424038
1103	4	0.014986971184484332
1103	5	-0.06436232572655598
1103	6	-0.012909054275496601
1103	7	0.0133893020078375
1103	8	0.024861802300179647
1103	9	0.05368218264885627
1103	10-14	0.03617957778951819
1103	15-19	0.013049899960918765
1103	20-24	0.04328210749476824
1103	25-29	-0.0023089688567097255
1103	30-34	0.02901337591429609
1103	35-39	0.04820841991832481
1103	40-44	0.06322870194776442
1103	45-49	0.04711974724290258
1103	50-54	0.042038537527766096
1103	55-59	0.11459555011291656
1103	60-64	0.15139760392708723
1103	65-69	0.0893233420790267
1103	70-74	0.14645336622690053
1103	75-79	0.13201600749841447
1103	80-84	0.1561768797310208
1103	85-89	0.17926180956730065
1103	90-94	0.22493370307361005
1103	95-99	0.17004429525756137
1103	100-104	0.2478733127596584
1103	105-109	0.28462312698309944
1103	110-114	0.2521772308342207
1103	115-119	0.2406552386571903
1103	120-124	0.3136174196957171
1103	125-129	0.39040333397479543
1103	130-134	0.4577544079648632
1103	135-139	0.4435528880954749
1103	140-144	0.4098051253555397
1103	145-149	0.49593974714469624
1103	150-151	0.5760521345061065
1104	1	-0.14005894179661027
1104	2	-0.008985999130224798
1104	3	-0.06629617690496303
1104	4	-0.00447695847482521
1104	5	-0.029468708337176963
1104	6	-0.07866314221357129
1104	7	-0.031924534184284425
1104	8	-0.03466419937274878
1104	9	-0.014501225879335777
1104	10-14	-0.011746128419304114
1104	15-19	0.0152029269403684
1104	20-24	-9.108539972757512E-4
1104	25-29	-0.018184607026483945
1104	30-34	-0.010823310304218126
1104	35-39	0.03787483826675242
1104	40-44	0.031224605543457074
1104	45-49	0.045462438338248035
1104	50-54	0.027369286672900728
1104	55-59	0.08656659490326035
1104	60-64	0.09165809586959739
1104	65-69	0.08446388372346547
1104	70-74	0.10229549450193787
1104	75-79	0.12447367597494008
1104	80-84	0.1724848358680049
1104	85-89	0.11945648208464377
1104	90-94	0.1851241281196394
1104	95-99	0.10911207929004973
1104	100-104	0.20961916666225022
1104	105-109	0.23518727613128476
1104	110-114	0.1988702694425939
1104	115-119	0.1637416477354705
1104	120-124	0.2717716038985216
1104	125-129	0.2979252858076933
1104	130-134	0.4347103097966354
1104	135-139	0.31382494159675645
1104	140-144	0.41561484821089323
1104	145-149	0.40145545435916574
1104	150-151	0.4918907577614675
1105	1	-0.20370921556902033
1105	2	0.02784189594670039
1105	3	-0.0593412509706539
1105	4	0.025922427086698008
1105	5	-0.01769206682264013
1105	6	-0.046830158055385596
1105	7	0.007814474195228627
1105	8	-0.017602321720950442
1105	9	-0.00592778509920322
1105	10-14	0.0323849199398083
1105	15-19	0.02676842837960436
1105	20-24	0.048899440010110595
1105	25-29	0.011610081539856765
1105	30-34	0.022636750241218806
1105	35-39	0.07776029357134462
1105	40-44	0.08806533913271153
