##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_030_i7-IDT8_UDI_030_i5_6797-RN-0007.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	390608355
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.6462288882684	37.0	37.0	37.0	37.0	37.0
2	35.774718884341326	37.0	37.0	37.0	37.0	37.0
3	35.902068006200224	37.0	37.0	37.0	37.0	37.0
4	35.92398987983757	37.0	37.0	37.0	37.0	37.0
5	35.98388108211357	37.0	37.0	37.0	37.0	37.0
6	35.99664885816382	37.0	37.0	37.0	37.0	37.0
7	36.01415233680805	37.0	37.0	37.0	37.0	37.0
8	36.01211775923226	37.0	37.0	37.0	37.0	37.0
9	35.99791344964959	37.0	37.0	37.0	37.0	37.0
10-14	36.00652701706803	37.0	37.0	37.0	37.0	37.0
15-19	35.96991333633916	37.0	37.0	37.0	37.0	37.0
20-24	35.9406733980383	37.0	37.0	37.0	37.0	37.0
25-29	35.83971296927328	37.0	37.0	37.0	37.0	37.0
30-34	35.777870536845015	37.0	37.0	37.0	37.0	37.0
35-39	35.72328745861056	37.0	37.0	37.0	37.0	37.0
40-44	35.67697342981822	37.0	37.0	37.0	37.0	37.0
45-49	35.63371847281659	37.0	37.0	37.0	37.0	37.0
50-54	35.603892910073576	37.0	37.0	37.0	37.0	37.0
55-59	35.559178719052234	37.0	37.0	37.0	37.0	37.0
60-64	35.49833339227985	37.0	37.0	37.0	37.0	37.0
65-69	35.44341046058781	37.0	37.0	37.0	37.0	37.0
70-74	35.42437753334795	37.0	37.0	37.0	37.0	37.0
75-79	35.37354057928433	37.0	37.0	37.0	37.0	37.0
80-84	35.31285485432077	37.0	37.0	37.0	37.0	37.0
85-89	35.25482950051081	37.0	37.0	37.0	37.0	37.0
90-94	35.21434048895344	37.0	37.0	37.0	27.4	37.0
95-99	35.14501095144266	37.0	37.0	37.0	25.0	37.0
100-104	35.09255013861646	37.0	37.0	37.0	25.0	37.0
105-109	35.01168209778821	37.0	37.0	37.0	25.0	37.0
110-114	34.95467062039675	37.0	37.0	37.0	25.0	37.0
115-119	34.842247728674415	37.0	37.0	37.0	25.0	37.0
120-124	34.7831204378616	37.0	37.0	37.0	25.0	37.0
125-129	34.72579839978077	37.0	37.0	37.0	25.0	37.0
130-134	34.621689935434176	37.0	37.0	37.0	25.0	37.0
135-139	34.6058297232275	37.0	37.0	37.0	25.0	37.0
140-144	34.4504382933642	37.0	37.0	37.0	25.0	37.0
145-149	34.409525692813205	37.0	37.0	37.0	25.0	37.0
150-151	34.06816531740597	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.128082541865723
1101	2	-0.049102537175649275
1101	3	0.0029851545744321584
1101	4	-0.03088267568110581
1101	5	-0.041679478506900125
1101	6	0.015799284262151048
1101	7	-0.009657881142025815
1101	8	0.0013146458754036416
1101	9	-0.041824847616467764
1101	10-14	-0.004036690852707636
1101	15-19	-0.015394358711219525
1101	20-24	0.011112594784215446
1101	25-29	0.0072208380816931594
1101	30-34	-0.01558641076121603
1101	35-39	-0.016191108170900748
1101	40-44	-0.02277604104597941
1101	45-49	-0.018026901113778138
1101	50-54	-0.028280390348989215
1101	55-59	-0.060293537835896416
1101	60-64	-0.023002864012177326
1101	65-69	-0.037076439285606
1101	70-74	-0.014630878769928302
1101	75-79	-0.016818503365598758
1101	80-84	-0.01828015204274891
1101	85-89	-0.027430408494353742
1101	90-94	-0.026424656620932296
1101	95-99	-0.09139571931907398
1101	100-104	-0.03385298222494271
1101	105-109	-0.08203072783742016
1101	110-114	-0.08126855742178662
1101	115-119	-0.1144975542109421
1101	120-124	-0.1175160872110439
1101	125-129	-0.07096552885838037
1101	130-134	-0.08038024020966361
1101	135-139	-0.06141883455652675
1101	140-144	-0.047388865455062046
1101	145-149	-0.057449902485466
1101	150-151	-0.10675275376097915
1102	1	-0.11264990708185962
1102	2	-0.00892600110837094
1102	3	0.030448230031417722
1102	4	0.008682305391261025
1102	5	-0.01266607165625544
1102	6	-0.023886383611255724
1102	7	0.00667443730041839
1102	8	-0.04820441831091671
1102	9	-0.027397276111365443
1102	10-14	2.92871389170557E-4
1102	15-19	-0.015962567690742446
1102	20-24	0.014619832313613301
1102	25-29	-0.006393095934804194
1102	30-34	0.011290847277884097
1102	35-39	-0.010624991836330366
1102	40-44	7.479930556542058E-4
1102	45-49	-0.0031686247239903764
1102	50-54	-0.020267026338437688
1102	55-59	-0.03192254411127493
1102	60-64	-0.013833655694590163
1102	65-69	-0.01589711931138993
1102	70-74	-0.0047057925717268745
1102	75-79	0.01008706428530104
1102	80-84	0.026312810588827062
1102	85-89	-0.03180299731360492
1102	90-94	-0.017897084254371975
1102	95-99	-0.017419518615142238
1102	100-104	0.04903952641814868
1102	105-109	-0.042549049307076814
1102	110-114	-0.024572572771575096
1102	115-119	-0.04682446502417292
1102	120-124	-0.08524165456857702
1102	125-129	0.034284241167199525
1102	130-134	-0.010585001139880035
1102	135-139	0.027045084663839702
1102	140-144	-0.048858769481633146
1102	145-149	-0.013617407211256705
1102	150-151	-0.05101053127332733
1103	1	-0.0799275842357261
1103	2	-0.047793565794634674
1103	3	-3.0351150093110846E-4
1103	4	-0.009564523987847906
1103	5	-0.05739852552020608
1103	6	0.008040395681106816
1103	7	0.028782522919499343
1103	8	-0.016691329895081708
1103	9	-0.013114941417711634
1103	10-14	-0.013397549439879697
1103	15-19	-0.027434761378714256
1103	20-24	-0.004558696018222008
1103	25-29	-0.016447218555697418
1103	30-34	-0.051593653362516534
1103	35-39	-0.0513602849748338
1103	40-44	-0.04264042799803036
1103	45-49	-0.039671941044218784
1103	50-54	-0.02003349077364902
1103	55-59	-2.695871243787451E-4
1103	60-64	-0.03282469334840954
1103	65-69	-0.05985898873470319
1103	70-74	-0.009548351218832352
1103	75-79	0.003334892943342993
1103	80-84	0.001990788275641364
1103	85-89	-0.0456466346163964
1103	90-94	-0.03791200080102897
1103	95-99	-0.09119924204971142
1103	100-104	-0.02102065579268242
1103	105-109	-0.08021517457041227
