##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_026_i7-IDT8_UDI_026_i5_6797-RN-0003.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	320671102
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.63551767131171	37.0	37.0	37.0	37.0	37.0
2	35.773080194797224	37.0	37.0	37.0	37.0	37.0
3	35.9064423834487	37.0	37.0	37.0	37.0	37.0
4	35.93058518880819	37.0	37.0	37.0	37.0	37.0
5	35.99223053781753	37.0	37.0	37.0	37.0	37.0
6	36.006227458562826	37.0	37.0	37.0	37.0	37.0
7	36.02097773063442	37.0	37.0	37.0	37.0	37.0
8	36.01499354001659	37.0	37.0	37.0	37.0	37.0
9	35.99836138960847	37.0	37.0	37.0	37.0	37.0
10-14	36.00999238777681	37.0	37.0	37.0	37.0	37.0
15-19	35.97678325064665	37.0	37.0	37.0	37.0	37.0
20-24	35.944643043637896	37.0	37.0	37.0	37.0	37.0
25-29	35.84938124795542	37.0	37.0	37.0	37.0	37.0
30-34	35.787326396502046	37.0	37.0	37.0	37.0	37.0
35-39	35.733569069157966	37.0	37.0	37.0	37.0	37.0
40-44	35.68920443539063	37.0	37.0	37.0	37.0	37.0
45-49	35.64481436995841	37.0	37.0	37.0	37.0	37.0
50-54	35.617672380718616	37.0	37.0	37.0	37.0	37.0
55-59	35.57211433601522	37.0	37.0	37.0	37.0	37.0
60-64	35.51292261190408	37.0	37.0	37.0	37.0	37.0
65-69	35.458233620939126	37.0	37.0	37.0	37.0	37.0
70-74	35.43862925509265	37.0	37.0	37.0	37.0	37.0
75-79	35.39022829565728	37.0	37.0	37.0	37.0	37.0
80-84	35.327129199811715	37.0	37.0	37.0	37.0	37.0
85-89	35.27214315682241	37.0	37.0	37.0	37.0	37.0
90-94	35.22659076526328	37.0	37.0	37.0	29.8	37.0
95-99	35.15828811166152	37.0	37.0	37.0	25.0	37.0
100-104	35.09814801833936	37.0	37.0	37.0	25.0	37.0
105-109	35.01511113277679	37.0	37.0	37.0	25.0	37.0
110-114	34.94952964673443	37.0	37.0	37.0	25.0	37.0
115-119	34.833087225926576	37.0	37.0	37.0	25.0	37.0
120-124	34.76455263499234	37.0	37.0	37.0	25.0	37.0
125-129	34.70024654669381	37.0	37.0	37.0	25.0	37.0
130-134	34.58819948608902	37.0	37.0	37.0	25.0	37.0
135-139	34.56342570650473	37.0	37.0	37.0	25.0	37.0
140-144	34.400419513947966	37.0	37.0	37.0	25.0	37.0
145-149	34.349349178336624	37.0	37.0	37.0	25.0	37.0
150-151	34.0041318503343	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.08101866029024762
1101	2	-0.03098025347023281
1101	3	0.010341399068487078
1101	4	-0.0460271052551775
1101	5	-0.060652907976916026
1101	6	-0.0010099901358557872
1101	7	0.0017974238799851605
1101	8	-0.02399645045843357
1101	9	-0.06111112845466948
1101	10-14	-0.0202218632469382
1101	15-19	-0.04462632774107078
1101	20-24	-0.01833579398000751
1101	25-29	-0.00298450414670981
1101	30-34	-0.029610216023009173
1101	35-39	-0.04488823047141466
1101	40-44	-0.04741030575682714
1101	45-49	-0.044194993848499564
1101	50-54	-0.02371744950873733
1101	55-59	-0.044988771339383504
1101	60-64	-0.015292923993449392
1101	65-69	-0.062110202663340885
1101	70-74	-0.03936679614177052
1101	75-79	-0.0393832842213655
1101	80-84	-0.031121413368218498
1101	85-89	-0.04406376574365822
1101	90-94	-0.02396727643616714
1101	95-99	-0.07302648807660006
1101	100-104	4.650261974603609E-4
1101	105-109	-0.03198063044042243
1101	110-114	-0.0128178945383155
1101	115-119	-0.0995898072215553
1101	120-124	-0.10256547505593971
1101	125-129	-0.043512666159365665
1101	130-134	-0.05909786238765946
1101	135-139	-0.023309622467230895
1101	140-144	-0.03442839243958673
1101	145-149	-0.031884517725139006
1101	150-151	-0.0701952865350961
1102	1	-0.050779519644315485
1102	2	-0.07015061480894502
1102	3	0.04684799131423034
1102	4	-0.004967921087200011
1102	5	-0.0379425860306597
1102	6	-0.02964402199058469
1102	7	-0.011374752345105321
1102	8	-0.01596380080833626
1102	9	-0.027231194093893407
1102	10-14	0.002755396715727443
1102	15-19	-0.0257637028901172
1102	20-24	-0.0016856943953484915
1102	25-29	-0.010411328372079254
1102	30-34	-0.015268190346816368
1102	35-39	-0.021210386646899337
1102	40-44	-0.033506317690594756
1102	45-49	-0.03106429432779123
1102	50-54	-0.05517111603378311
1102	55-59	-0.057432269776647615
1102	60-64	-0.024616895716164322
1102	65-69	-0.05982257150750314
1102	70-74	-0.02241553483139569
1102	75-79	-0.022193378990316148
1102	80-84	-0.002829242207560867
1102	85-89	-0.03217860411743345
1102	90-94	-0.04317923227018383
1102	95-99	-0.040441025137120334
1102	100-104	0.004418536121669092
1102	105-109	-0.04610740080242692
1102	110-114	-0.07112131506507069
1102	115-119	-0.04074611271101958
1102	120-124	-0.1288085697030752
1102	125-129	0.04324883700066806
1102	130-134	-0.013368085557281972
1102	135-139	-0.01820005784763623
1102	140-144	-0.02013791612993998
1102	145-149	-0.03903975430973361
1102	150-151	-0.028363191467455806
1103	1	-0.040607894242803866
1103	2	-0.030487294063689774
1103	3	0.04447946364751232
1103	4	0.0027247675034018926
1103	5	-0.00938741303898638
1103	6	0.038637640888985914
1103	7	0.040824781691235046
1103	8	0.004510889254582651
1103	9	-0.04296704555583375
1103	10-14	-0.012307593892806779
1103	15-19	-0.001514193734507785
1103	20-24	0.012639486267289612
1103	25-29	0.01032800357192798
