##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_025_i7-IDT8_UDI_025_i5_6797-RN-0002.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	359239377
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.72076859770303	37.0	37.0	37.0	37.0	37.0
2	35.814631131041075	37.0	37.0	37.0	37.0	37.0
3	35.93949926318907	37.0	37.0	37.0	37.0	37.0
4	35.954422076063224	37.0	37.0	37.0	37.0	37.0
5	36.01356486318592	37.0	37.0	37.0	37.0	37.0
6	36.02892159564123	37.0	37.0	37.0	37.0	37.0
7	36.047714003801985	37.0	37.0	37.0	37.0	37.0
8	36.045376601351805	37.0	37.0	37.0	37.0	37.0
9	36.02835826931077	37.0	37.0	37.0	37.0	37.0
10-14	36.03564062689041	37.0	37.0	37.0	37.0	37.0
15-19	36.00207301328218	37.0	37.0	37.0	37.0	37.0
20-24	35.972172496001185	37.0	37.0	37.0	37.0	37.0
25-29	35.87741412601325	37.0	37.0	37.0	37.0	37.0
30-34	35.814588521569554	37.0	37.0	37.0	37.0	37.0
35-39	35.7627893113733	37.0	37.0	37.0	37.0	37.0
40-44	35.71460889210928	37.0	37.0	37.0	37.0	37.0
45-49	35.674221837323806	37.0	37.0	37.0	37.0	37.0
50-54	35.6417577152184	37.0	37.0	37.0	37.0	37.0
55-59	35.59932734322719	37.0	37.0	37.0	37.0	37.0
60-64	35.53742796631117	37.0	37.0	37.0	37.0	37.0
65-69	35.484252744375524	37.0	37.0	37.0	37.0	37.0
70-74	35.46424027842583	37.0	37.0	37.0	37.0	37.0
75-79	35.41334431275334	37.0	37.0	37.0	37.0	37.0
80-84	35.35474895671028	37.0	37.0	37.0	37.0	37.0
85-89	35.29530602431704	37.0	37.0	37.0	37.0	37.0
90-94	35.25764050303428	37.0	37.0	37.0	37.0	37.0
95-99	35.18661261624446	37.0	37.0	37.0	25.0	37.0
100-104	35.13818624287393	37.0	37.0	37.0	25.0	37.0
105-109	35.05471968848225	37.0	37.0	37.0	25.0	37.0
110-114	35.00269560037679	37.0	37.0	37.0	25.0	37.0
115-119	34.8885238440885	37.0	37.0	37.0	25.0	37.0
120-124	34.83284583137444	37.0	37.0	37.0	25.0	37.0
125-129	34.774291472507485	37.0	37.0	37.0	25.0	37.0
130-134	34.67279465135026	37.0	37.0	37.0	25.0	37.0
135-139	34.656203406677214	37.0	37.0	37.0	25.0	37.0
140-144	34.50434274024475	37.0	37.0	37.0	25.0	37.0
145-149	34.46375694889372	37.0	37.0	37.0	25.0	37.0
150-151	34.12891085990275	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.07915185456432994
1101	2	-0.018109725575016
1101	3	0.027808399509417825
1101	4	-0.04228140032757466
1101	5	-0.031136057300521713
1101	6	-0.012694712231898109
1101	7	0.012467266782948627
1101	8	-0.06223836666378446
1101	9	-0.01839268498447666
1101	10-14	0.0030459821256627606
1101	15-19	-0.03922848509309773
1101	20-24	0.01250147580805816
1101	25-29	-0.02436359749107453
1101	30-34	-2.613434206466536E-5
1101	35-39	-0.03607034460962666
1101	40-44	-0.04982298235977112
1101	45-49	-0.027656031549724958
1101	50-54	-0.04150837137511587
1101	55-59	-0.054776251073633375
1101	60-64	-0.04997883907782352
1101	65-69	-0.03917996670381285
1101	70-74	-0.032795999913865614
1101	75-79	-0.02088717383662697
1101	80-84	-0.022678082165192848
1101	85-89	-0.06858618084689283
1101	90-94	-0.07317951664385447
1101	95-99	-0.09774618253785405
1101	100-104	-0.06237403593073765
1101	105-109	-0.06722682440631189
1101	110-114	-0.0826935793949346
1101	115-119	-0.13025089846456694
1101	120-124	-0.13969135929048093
1101	125-129	-0.08675604766462186
1101	130-134	-0.11081325498328454
1101	135-139	-0.07633139759849428
1101	140-144	-0.06865400330269722
1101	145-149	-0.08134968449530788
1101	150-151	-0.12386150164525844
1102	1	-0.10765828312059256
1102	2	-0.05798220836447854
1102	3	0.0023056286007800963
1102	4	-0.04011954541127949
1102	5	-0.08096481640627218
1102	6	-0.08238610710132832
1102	7	-0.002014995574342038
1102	8	-0.04822742560616433
1102	9	-0.08126680838402223
1102	10-14	-0.014883664790062312
1102	15-19	-0.05882252759005269
1102	20-24	-0.030854164406278528
1102	25-29	-0.03931983324856958
1102	30-34	-0.040187938682301194
1102	35-39	-0.07216744212158233
1102	40-44	-0.06456441278542258
1102	45-49	-0.04906798201402296
1102	50-54	-0.06580858862758276
1102	55-59	-0.04714269895328016
1102	60-64	-0.06981683038907249
1102	65-69	-0.0816592640300513
1102	70-74	-0.038773577255831526
1102	75-79	-0.040305761368330195
1102	80-84	-0.04102807720840218
1102	85-89	-0.06866770741820716
1102	90-94	-0.08394824404414436
1102	95-99	-0.09541322797251439
1102	100-104	-0.03492186597681268
1102	105-109	-0.10511025367636506
1102	110-114	-0.12231541833411796
1102	115-119	-0.09010275561127656
1102	120-124	-0.14294246559104096
1102	125-129	-0.024625899781192118
1102	130-134	-0.07125581384896407
1102	135-139	-0.05414852093905864
1102	140-144	-0.08945395144402113
1102	145-149	-0.07555804735652316
1102	150-151	-0.15804051671553765
1103	1	-0.06500274836424325
1103	2	-0.005495180267942601
1103	3	-0.018259068384182342
1103	4	-0.022588545333192656
1103	5	-0.08416218047224788
1103	6	0.01572037266146964
1103	7	0.01850008307773976
1103	8	-0.033754734560126565
1103	9	-0.0532470954797688
1103	10-14	-0.010895335631644798
1103	15-19	-0.04848937878420401
1103	20-24	0.0033065211309093456
1103	25-29	-0.01485513048962872
1103	30-34	-0.041575246456886816
1103	35-39	-0.08726878434037388
1103	40-44	-0.03826082519380947
1103	45-49	-0.05106514776564097
1103	50-54	-0.03671660782644892
1103	55-59	-0.041772184959853575
1103	60-64	-0.07434062315483203
1103	65-69	-0.10689730837614775
1103	70-74	-0.013841972169522876
1103	75-79	-0.009274895884473722
1103	80-84	-0.02187371484263423
1103	85-89	-0.04689930438342316
1103	90-94	-0.05839585487510135
1103	95-99	-0.09310081528288094
1103	100-104	-0.03837350145596474
1103	105-109	-0.11526533274136597
1103	110-114	-0.08714979784474508
1103	115-119	-0.1179703590629444
1103	120-124	-0.17871179890779132
1103	125-129	-0.007190248176762282
1103	130-134	-0.08509041484401081
1103	135-139	-0.02905290470634725
1103	140-144	-0.07102186331102445
1103	145-149	-0.05006793552060884
1103	150-151	-0.0667570165969451
1104	1	-0.06554135522044646
1104	2	-0.04778984529351504
1104	3	0.040468676005289694
1104	4	-0.0017801068637126605
1104	5	-0.07850023133968875
1104	6	0.023784326105101172
1104	7	0.0371596673729897
1104	8	0.016571255254305584
1104	9	-2.466907692166842E-5
1104	10-14	0.0039375873451632515
1104	15-19	-0.0026320180705567964
1104	20-24	0.020508864840806496
1104	25-29	0.008686983513520374
1104	30-34	-0.012230472947635462
1104	35-39	-0.047893254996587586
1104	40-44	-0.05267382861293157
1104	45-49	-0.06908824577519113
1104	50-54	-0.030813859995205917
1104	55-59	-0.03657283536180245
1104	60-64	-0.025292953245013905
1104	65-69	-0.05250183155643384
1104	70-74	-7.501110637733177E-4
1104	75-79	-0.00945468609366884
1104	80-84	-0.016460440175983138
1104	85-89	-0.052968569845667446
1104	90-94	-0.03592903135279357
1104	95-99	-0.07245470163692858
1104	100-104	-0.00479664192304341
1104	105-109	-0.0668026431599884
1104	110-114	-0.04938548803714582
1104	115-119	-0.0874444543902726
1104	120-124	-0.14937716554052827
1104	125-129	-0.018355160900981105
1104	130-134	-0.06506994945183919
1104	135-139	-0.019340577923046
1104	140-144	0.007054507052131953
1104	145-149	-0.0023700762236202877
1104	150-151	-0.021726285301255643
1105	1	-0.016939938097721097
1105	2	0.0020701162981993093
1105	3	0.044907713081208556
1105	4	0.010865136573350753
1105	5	-0.06858914022137697
1105	6	0.0391076858332724
1105	7	-0.002062244622074161
1105	8	0.012027181583107449
1105	9	0.00332815901370509
1105	10-14	0.012893842979821102
1105	15-19	0.007967296019494086
1105	20-24	0.02684616649136018
1105	25-29	0.028859201455496475
1105	30-34	0.01700744304130808
1105	35-39	-0.006178557823162123
1105	40-44	0.008043568563401493
1105	45-49	-0.013172051024483267
1105	50-54	0.007526279049457685
1105	55-59	0.015738555312658775
1105	60-64	0.0030776250023336615
1105	65-69	-0.004554346594645153
1105	70-74	0.028753170387147975
1105	75-79	0.03394817184013732
1105	80-84	0.011583831731691419
1105	85-89	0.022549588455611058
1105	90-94	0.03396566938054946
1105	95-99	-0.006280144449767988
1105	100-104	0.019873341876916584
1105	105-109	-0.006612540663248012
1105	110-114	-0.00829149498906645
1105	115-119	-0.02017508482484942
1105	120-124	-0.05936566615835659
1105	125-129	0.00467295530570766
1105	130-134	0.006652602937847973
1105	135-139	0.06612739821546398
1105	140-144	0.06409103649730952
1105	145-149	0.06291511813117978
1105	150-151	0.02729159204229603
1106	1	-0.034324490476684844
1106	2	-0.030425579559668847
1106	3	-0.016458529065047856
1106	4	-0.0035479501991559914
1106	5	-0.059627451434216994
1106	6	0.05490937430707277
1106	7	-0.02469336739990524
1106	8	0.037271979281953804
1106	9	4.595331703001193E-4
1106	10-14	0.009526894748660197
1106	15-19	-0.015420952166785185
1106	20-24	0.018628176544019937
1106	25-29	0.012650783422671452
1106	30-34	0.002035338107397422
1106	35-39	-0.02836527747266615
1106	40-44	-0.029109222423777226
1106	45-49	-0.023593612919093232
1106	50-54	-0.030691533388278458
1106	55-59	-0.0031462402651243337
