##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_027_i7-IDT8_UDI_027_i5_6797-RN-0004.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	393327764
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.6643060722253	37.0	37.0	37.0	37.0	37.0
2	35.776575983077564	37.0	37.0	37.0	37.0	37.0
3	35.8995870197457	37.0	37.0	37.0	37.0	37.0
4	35.918328236803546	37.0	37.0	37.0	37.0	37.0
5	35.98137889142247	37.0	37.0	37.0	37.0	37.0
6	35.9983555623091	37.0	37.0	37.0	37.0	37.0
7	36.01303738121065	37.0	37.0	37.0	37.0	37.0
8	36.00934175345934	37.0	37.0	37.0	37.0	37.0
9	35.99316301759974	37.0	37.0	37.0	37.0	37.0
10-14	35.99590120976052	37.0	37.0	37.0	37.0	37.0
15-19	35.95929864030651	37.0	37.0	37.0	37.0	37.0
20-24	35.92788083782461	37.0	37.0	37.0	37.0	37.0
25-29	35.827661134035786	37.0	37.0	37.0	37.0	37.0
30-34	35.763339418368645	37.0	37.0	37.0	37.0	37.0
35-39	35.71100396004591	37.0	37.0	37.0	37.0	37.0
40-44	35.66259520037339	37.0	37.0	37.0	37.0	37.0
45-49	35.621361431276945	37.0	37.0	37.0	37.0	37.0
50-54	35.589761065023616	37.0	37.0	37.0	37.0	37.0
55-59	35.546765450302665	37.0	37.0	37.0	37.0	37.0
60-64	35.48425446976583	37.0	37.0	37.0	37.0	37.0
65-69	35.43063210050944	37.0	37.0	37.0	37.0	37.0
70-74	35.41117312786493	37.0	37.0	37.0	37.0	37.0
75-79	35.36103613168787	37.0	37.0	37.0	37.0	37.0
80-84	35.30008973330446	37.0	37.0	37.0	37.0	37.0
85-89	35.24233041021736	37.0	37.0	37.0	34.6	37.0
90-94	35.203489298558644	37.0	37.0	37.0	25.0	37.0
95-99	35.13401381907024	37.0	37.0	37.0	25.0	37.0
100-104	35.08469019034212	37.0	37.0	37.0	25.0	37.0
105-109	35.00369307110494	37.0	37.0	37.0	25.0	37.0
110-114	34.95096538824551	37.0	37.0	37.0	25.0	37.0
115-119	34.839158722596565	37.0	37.0	37.0	25.0	37.0
120-124	34.78443078378774	37.0	37.0	37.0	25.0	37.0
125-129	34.72816060246386	37.0	37.0	37.0	25.0	37.0
130-134	34.62702995459024	37.0	37.0	37.0	25.0	37.0
135-139	34.612214130401426	37.0	37.0	37.0	25.0	37.0
140-144	34.45916394856886	37.0	37.0	37.0	25.0	37.0
145-149	34.4194965286	37.0	37.0	37.0	25.0	37.0
150-151	34.08178230459216	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.09902737322963162
1101	2	-0.01625858908779776
1101	3	0.004462297003733795
1101	4	-0.03592765223238814
1101	5	-0.06599989591016708
1101	6	0.00396093397984032
1101	7	0.016504433219367343
1101	8	-0.01765730703095869
1101	9	-0.026852719974257866
1101	10-14	-0.010100296128385367
1101	15-19	-0.03601563350866144
1101	20-24	0.012956904576938655
1101	25-29	7.650150304598924E-4
1101	30-34	-0.006807859800900928
1101	35-39	-0.05513704479972148
1101	40-44	-0.030870926604293913
1101	45-49	-0.026049018068512453
1101	50-54	-0.02127764095484963
1101	55-59	-0.04637050696339173
1101	60-64	-0.0455871187800625
1101	65-69	-0.03727636442238946
1101	70-74	-0.01011456393608512
1101	75-79	-0.0033797316649781806
1101	80-84	-0.024060487696225152
1101	85-89	-0.05565564857918304
1101	90-94	-0.00904037684876613
1101	95-99	-0.05795289220504429
1101	100-104	0.003918790782037718
1101	105-109	-0.0287293618273452
1101	110-114	-0.055802193450467996
1101	115-119	-0.08584267370127918
1101	120-124	-0.08691844878776323
1101	125-129	-0.02766796305986219
1101	130-134	-0.0203954118619194
1101	135-139	-0.03971783160000797
1101	140-144	0.011231385122165705
1101	145-149	0.005338510328620316
1101	150-151	-0.04080602291072921
1102	1	-0.11017044459566705
1102	2	-0.056467559206801354
1102	3	0.0014378513128576742
1102	4	-0.04258563621164768
1102	5	-0.032202298147204544
1102	6	0.008296706534203224
1102	7	-0.024974879569874986
1102	8	-0.03667594335885127
1102	9	-0.08163746883475653
1102	10-14	-0.020839508194498535
1102	15-19	-0.04540135397991918
1102	20-24	-0.0052750416024167635
1102	25-29	-0.051052418747403294
1102	30-34	-0.03676278834302593
1102	35-39	-0.03520054845464671
1102	40-44	-0.04852437843266699
1102	45-49	-0.03898842969203997
1102	50-54	-0.06167682086197601
1102	55-59	-0.05890172754870093
1102	60-64	-0.05495055310858277
1102	65-69	-0.05414787335273985
1102	70-74	-0.023488502822885948
1102	75-79	-0.03289250964219548
1102	80-84	-0.04427040038659413
1102	85-89	-0.0568490601354128
1102	90-94	-0.07979021747611625
1102	95-99	-0.0895610918695553
1102	100-104	-0.03981376211955023
1102	105-109	-0.08734052752414811
1102	110-114	-0.09800104143118915
1102	115-119	-0.08436006934868345
1102	120-124	-0.1232027115826142
1102	125-129	0.011438720031463845
1102	130-134	-0.060971804483230585
1102	135-139	-0.04970960594506835
1102	140-144	-0.09134275127701841
1102	145-149	-0.04212568543768924
1102	150-151	-0.12863634119310063
1103	1	-0.06608087237396632
1103	2	-0.01095431501719446
1103	3	0.040826256389664195
1103	4	0.04391158782339488
1103	5	-0.049820343808264056
1103	6	0.012827172369739515
1103	7	0.011524475957081393
1103	8	0.023049245526571838
1103	9	-0.0694036583822708
1103	10-14	-0.004907321291888422
1103	15-19	-0.0143583127464737
1103	20-24	0.01753908687327055
1103	25-29	0.0038699712638674555
