##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_031_i7-IDT8_UDI_031_i5_6797-RN-0008.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	355566227
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.71100080604675	37.0	37.0	37.0	37.0	37.0
2	35.80591463766889	37.0	37.0	37.0	37.0	37.0
3	35.933674578153905	37.0	37.0	37.0	37.0	37.0
4	35.949553108147136	37.0	37.0	37.0	37.0	37.0
5	36.00981664099386	37.0	37.0	37.0	37.0	37.0
6	36.022883869113926	37.0	37.0	37.0	37.0	37.0
7	36.038414174246086	37.0	37.0	37.0	37.0	37.0
8	36.035142103077185	37.0	37.0	37.0	37.0	37.0
9	36.01654775834489	37.0	37.0	37.0	37.0	37.0
10-14	36.02396252161485	37.0	37.0	37.0	37.0	37.0
15-19	35.9861932241388	37.0	37.0	37.0	37.0	37.0
20-24	35.954342733456514	37.0	37.0	37.0	37.0	37.0
25-29	35.85634156080859	37.0	37.0	37.0	37.0	37.0
30-34	35.79325890813584	37.0	37.0	37.0	37.0	37.0
35-39	35.73881512711836	37.0	37.0	37.0	37.0	37.0
40-44	35.69188318833217	37.0	37.0	37.0	37.0	37.0
45-49	35.64780165468303	37.0	37.0	37.0	37.0	37.0
50-54	35.61842544005171	37.0	37.0	37.0	37.0	37.0
55-59	35.572497511131736	37.0	37.0	37.0	37.0	37.0
60-64	35.51281234198883	37.0	37.0	37.0	37.0	37.0
65-69	35.45688407971322	37.0	37.0	37.0	37.0	37.0
70-74	35.438412003623725	37.0	37.0	37.0	37.0	37.0
75-79	35.3871402865267	37.0	37.0	37.0	37.0	37.0
80-84	35.32660008960862	37.0	37.0	37.0	37.0	37.0
85-89	35.26862071183156	37.0	37.0	37.0	37.0	37.0
90-94	35.22780380038738	37.0	37.0	37.0	32.2	37.0
95-99	35.15822895069278	37.0	37.0	37.0	25.0	37.0
100-104	35.10484396933458	37.0	37.0	37.0	25.0	37.0
105-109	35.02308645078375	37.0	37.0	37.0	25.0	37.0
110-114	34.964660063735465	37.0	37.0	37.0	25.0	37.0
115-119	34.850768805441135	37.0	37.0	37.0	25.0	37.0
120-124	34.78893304453238	37.0	37.0	37.0	25.0	37.0
125-129	34.73025222105811	37.0	37.0	37.0	25.0	37.0
130-134	34.62447548146917	37.0	37.0	37.0	25.0	37.0
135-139	34.60661509283333	37.0	37.0	37.0	25.0	37.0
140-144	34.45078139943814	37.0	37.0	37.0	25.0	37.0
145-149	34.40847885252049	37.0	37.0	37.0	25.0	37.0
150-151	34.070499580940236	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.0852591239990943
1101	2	-0.006158999724050318
1101	3	0.015156855199187191
1101	4	-0.058946372511258005
1101	5	-0.024756876800360317
1101	6	0.01740555853691461
1101	7	-0.002360486811525675
1101	8	-0.028495325813835848
1101	9	0.01667746015058924
1101	10-14	-0.012822983989920544
1101	15-19	-0.02400951766911419
1101	20-24	-0.0035962225457026875
1101	25-29	-0.004461330486066117
1101	30-34	-0.032927240716894346
1101	35-39	-0.03193590612303865
1101	40-44	-0.03838308198417195
1101	45-49	-0.026162965746365785
1101	50-54	-0.019740487034631826
1101	55-59	-0.04938255459371277
1101	60-64	-0.03459122063625841
1101	65-69	-0.03617404092532439
1101	70-74	-0.02795905152152045
1101	75-79	-0.02817490001189782
1101	80-84	-0.029003150873720074
1101	85-89	-0.04267734034706905
1101	90-94	-0.04066534729660276
1101	95-99	-0.07819158003839277
1101	100-104	-0.03165134423864657
1101	105-109	-0.04992832990443219
1101	110-114	-0.03775160148094159
1101	115-119	-0.10085396589624906
1101	120-124	-0.12772159593771448
1101	125-129	-0.06620854629409934
1101	130-134	-0.0683176714436513
1101	135-139	-0.025684783109063858
1101	140-144	-0.013564254048418434
1101	145-149	-0.04493071212983324
1101	150-151	-0.034924112802372065
1102	1	-0.0878429128757503
1102	2	-0.02280999593593691
1102	3	0.05622975457807655
1102	4	-0.02170953809765308
1102	5	-0.06041710141801815
1102	6	-0.011275834963548448
1102	7	0.004445106479515459
1102	8	-0.012312846583213855
1102	9	-0.0797219656221344
1102	10-14	-0.011166026405675211
1102	15-19	-0.03214085134548128
1102	20-24	-0.002254213113900505
1102	25-29	-0.024970626590295808
1102	30-34	-0.020687490986333046
1102	35-39	-0.03817546489282364
1102	40-44	-0.03364613805833727
1102	45-49	-0.04411653383886005
1102	50-54	-0.01455595460939918
1102	55-59	-0.02918505464329968
1102	60-64	-0.03419728467584804
1102	65-69	-0.02500864654155066
1102	70-74	-0.003412332590528422
1102	75-79	-0.004189529868831698
1102	80-84	0.007245186343695309
1102	85-89	-0.025254132650871952
1102	90-94	-0.04277207423268692
1102	95-99	-0.02834763590307432
1102	100-104	0.005628683638697396
1102	105-109	-0.03705839646983122
1102	110-114	-0.055170732053781535
1102	115-119	-0.04799250904624586
1102	120-124	-0.08316167129715524
1102	125-129	0.010101093163846997
1102	130-134	-0.05692095830573152
1102	135-139	-0.0036868805218333023
1102	140-144	-0.04801672972355675
1102	145-149	-0.049096892597276565
1102	150-151	-0.041764062502636534
1103	1	-0.10832275420005288
1103	2	-0.015785441211484397
1103	3	0.012522928264644406
1103	4	0.012171107086480504
1103	5	-0.03932081940683929
1103	6	0.031399445193571296
1103	7	-0.006781410901183449
1103	8	-0.021178241174567347
1103	9	-0.05751995374507857
1103	10-14	-0.018970356887329842
1103	15-19	-0.012729955729575693
1103	20-24	0.008243369469639106
1103	25-29	0.0255522887788473
