##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_029_i7-IDT8_UDI_029_i5_6797-RN-0006.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	338333273
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.65188250343915	37.0	37.0	37.0	37.0	37.0
2	35.761848377236014	37.0	37.0	37.0	37.0	37.0
3	35.88742879864494	37.0	37.0	37.0	37.0	37.0
4	35.90914628429111	37.0	37.0	37.0	37.0	37.0
5	35.969150536370684	37.0	37.0	37.0	37.0	37.0
6	35.98253963333958	37.0	37.0	37.0	37.0	37.0
7	35.99940239693777	37.0	37.0	37.0	37.0	37.0
8	35.99620501114592	37.0	37.0	37.0	37.0	37.0
9	35.97635597607924	37.0	37.0	37.0	37.0	37.0
10-14	35.9839706306391	37.0	37.0	37.0	37.0	37.0
15-19	35.949826135486234	37.0	37.0	37.0	37.0	37.0
20-24	35.91719707685978	37.0	37.0	37.0	37.0	37.0
25-29	35.81646857653282	37.0	37.0	37.0	37.0	37.0
30-34	35.75329331620305	37.0	37.0	37.0	37.0	37.0
35-39	35.69847738741321	37.0	37.0	37.0	37.0	37.0
40-44	35.653784778655215	37.0	37.0	37.0	37.0	37.0
45-49	35.6094597518347	37.0	37.0	37.0	37.0	37.0
50-54	35.58138861559738	37.0	37.0	37.0	37.0	37.0
55-59	35.5361406207305	37.0	37.0	37.0	37.0	37.0
60-64	35.47595692901301	37.0	37.0	37.0	37.0	37.0
65-69	35.42126516300393	37.0	37.0	37.0	37.0	37.0
70-74	35.402376089093664	37.0	37.0	37.0	37.0	37.0
75-79	35.35396381839158	37.0	37.0	37.0	37.0	37.0
80-84	35.291261405436764	37.0	37.0	37.0	37.0	37.0
85-89	35.2368616396768	37.0	37.0	37.0	32.2	37.0
90-94	35.19402005193855	37.0	37.0	37.0	25.0	37.0
95-99	35.12911166617657	37.0	37.0	37.0	25.0	37.0
100-104	35.07460984542303	37.0	37.0	37.0	25.0	37.0
105-109	34.99760147622253	37.0	37.0	37.0	25.0	37.0
110-114	34.940018680338305	37.0	37.0	37.0	25.0	37.0
115-119	34.83087665811692	37.0	37.0	37.0	25.0	37.0
120-124	34.77193762199085	37.0	37.0	37.0	25.0	37.0
125-129	34.71761000698267	37.0	37.0	37.0	25.0	37.0
130-134	34.61418788568276	37.0	37.0	37.0	25.0	37.0
135-139	34.60027476517215	37.0	37.0	37.0	25.0	37.0
140-144	34.44642678108694	37.0	37.0	37.0	25.0	37.0
145-149	34.40660845970062	37.0	37.0	37.0	25.0	37.0
150-151	34.06945858085912	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.15316860272592692
1101	2	-0.05890806697030371
1101	3	-0.010730767522396434
1101	4	-0.03946952098793588
1101	5	-0.1052362968899061
1101	6	-0.05966432016025891
1101	7	-0.015101081960573026
1101	8	-0.05335795769611451
1101	9	-0.04418805612051813
1101	10-14	-0.043633437713147316
1101	15-19	-0.048991908499992576
1101	20-24	-0.021517352226780417
1101	25-29	-0.02318754437970938
1101	30-34	-0.055408673963903254
1101	35-39	-0.05896204512530545
1101	40-44	-0.06412775543631
1101	45-49	-0.05207401646099896
1101	50-54	-0.07081860173529009
1101	55-59	-0.07947167132628863
1101	60-64	-0.059177389698703564
1101	65-69	-0.07274342319156091
1101	70-74	-0.04065509337912232
1101	75-79	-0.03677286063914664
1101	80-84	-0.06262492151372356
1101	85-89	-0.05619331330380106
1101	90-94	-0.06639323169650879
1101	95-99	-0.09503388665430634
1101	100-104	-0.04029463858458371
1101	105-109	-0.039590171041908206
1101	110-114	-0.062292810064057846
1101	115-119	-0.1264442913153161
1101	120-124	-0.14931679241886542
1101	125-129	-0.07669108283674575
1101	130-134	-0.08816034092900082
1101	135-139	-0.08116626522598125
1101	140-144	-0.05450870812417463
1101	145-149	-0.037987150479033005
1101	150-151	-0.04452538641058368
1102	1	-0.16801305715006265
1102	2	-0.11298707705645938
1102	3	-0.053331785803784726
1102	4	-0.03282364739177268
1102	5	-0.08682425551849349
1102	6	-0.06632604861865588
1102	7	-0.015306662857227593
1102	8	-0.006708208618263711
1102	9	-0.13705037726293767
1102	10-14	-0.04532702729554927
1102	15-19	-0.06279723933857895
1102	20-24	-0.03942161029994651
1102	25-29	-0.06468971981660587
1102	30-34	-0.04939764941558167
1102	35-39	-0.08623872782785469
1102	40-44	-0.08707513136902634
1102	45-49	-0.06088683811075413
1102	50-54	-0.054724260829871696
1102	55-59	-0.06337595136043461
1102	60-64	-0.06962864501261379
1102	65-69	-0.08515631893672548
1102	70-74	-0.06274802841041094
1102	75-79	-0.053217060140127614
1102	80-84	-0.05745822764548336
1102	85-89	-0.10725540152613888
1102	90-94	-0.09423279357569214
1102	95-99	-0.12075979918501645
1102	100-104	-0.03738132049287657
1102	105-109	-0.08601508653670464
1102	110-114	-0.10735351911454671
1102	115-119	-0.12479419722478013
1102	120-124	-0.13696929372501643
1102	125-129	-0.05001174653719431
1102	130-134	-0.09485347396068988
1102	135-139	-0.06546486555639319
1102	140-144	-0.09425187928676593
1102	145-149	-0.06272294403968459
1102	150-151	-0.1602430152632337
1103	1	-0.10858406812064203
1103	2	-0.02533213696989378
1103	3	0.01363232972371975
1103	4	0.003975498346541428
1103	5	-0.04952441699433052
1103	6	-0.014510495481431462
1103	7	0.026637236443072254
1103	8	0.010403069738828208
1103	9	-0.07625949683689015
1103	10-14	-0.008878424846095356
1103	15-19	-0.030016914034938225
1103	20-24	-0.005279244597247157
1103	25-29	-0.0030605591382411035
