##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	H2LCVDSX3_s1_1_IDT8_UDI_024_i7-IDT8_UDI_024_i5_6797-RN-0001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363012251
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.49956175996936	37.0	37.0	37.0	37.0	37.0
2	35.7215123546891	37.0	37.0	37.0	37.0	37.0
3	35.86344671877203	37.0	37.0	37.0	37.0	37.0
4	35.893722446298376	37.0	37.0	37.0	37.0	37.0
5	35.960319686290696	37.0	37.0	37.0	37.0	37.0
6	35.97724110693994	37.0	37.0	37.0	37.0	37.0
7	35.993371697529845	37.0	37.0	37.0	37.0	37.0
8	35.99390065763924	37.0	37.0	37.0	37.0	37.0
9	35.97826389611297	37.0	37.0	37.0	37.0	37.0
10-14	35.985018856567464	37.0	37.0	37.0	37.0	37.0
15-19	35.9501447608169	37.0	37.0	37.0	37.0	37.0
20-24	35.918980048968095	37.0	37.0	37.0	37.0	37.0
25-29	35.8193390156411	37.0	37.0	37.0	37.0	37.0
30-34	35.754028949287445	37.0	37.0	37.0	37.0	37.0
35-39	35.699202146210766	37.0	37.0	37.0	37.0	37.0
40-44	35.64956776293481	37.0	37.0	37.0	37.0	37.0
45-49	35.606531602703406	37.0	37.0	37.0	37.0	37.0
50-54	35.57319994856041	37.0	37.0	37.0	37.0	37.0
55-59	35.52906242935587	37.0	37.0	37.0	37.0	37.0
60-64	35.463048864430746	37.0	37.0	37.0	37.0	37.0
65-69	35.408075100473674	37.0	37.0	37.0	37.0	37.0
70-74	35.386340327671206	37.0	37.0	37.0	37.0	37.0
75-79	35.335252493723694	37.0	37.0	37.0	37.0	37.0
80-84	35.27047249432913	37.0	37.0	37.0	34.6	37.0
85-89	35.210161760077895	37.0	37.0	37.0	25.0	37.0
90-94	35.168310621560806	37.0	37.0	37.0	25.0	37.0
95-99	35.09490090294501	37.0	37.0	37.0	25.0	37.0
100-104	35.04147612362537	37.0	37.0	37.0	25.0	37.0
105-109	34.95437172339399	37.0	37.0	37.0	25.0	37.0
110-114	34.89762996841669	37.0	37.0	37.0	25.0	37.0
115-119	34.77735073795071	37.0	37.0	37.0	25.0	37.0
120-124	34.718110889871866	37.0	37.0	37.0	25.0	37.0
125-129	34.65649397656279	37.0	37.0	37.0	25.0	37.0
130-134	34.54996154551269	37.0	37.0	37.0	25.0	37.0
135-139	34.532503644346704	37.0	37.0	37.0	25.0	37.0
140-144	34.371801099902825	37.0	37.0	37.0	25.0	37.0
145-149	34.32923697938779	37.0	37.0	37.0	25.0	37.0
150-151	33.96883114559128	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.048317684166846675
1101	2	-0.01829994831892634
1101	3	0.019584169430906684
1101	4	0.007166676920817849
1101	5	-0.0724975581865479
1101	6	-0.01124806912212506
1101	7	0.03283946112434677
1101	8	-0.0041819789495392
1101	9	0.0032967448316156833
1101	10-14	-0.023995620981473564
1101	15-19	-0.02435540302087702
1101	20-24	-0.00861361919081105
1101	25-29	-0.01784062090562344
1101	30-34	-0.017599004828532827
1101	35-39	-0.045176617104928596
1101	40-44	-0.044175480486366325
1101	45-49	-0.021464444622473877
1101	50-54	-0.041349877253715306
1101	55-59	-0.047638827470088074
1101	60-64	-0.035933290243121974
1101	65-69	-0.05063897847826837
1101	70-74	-0.007771378467666068
1101	75-79	-0.04432694489867117
1101	80-84	-0.029428925745378365
1101	85-89	-0.022353824182857807
1101	90-94	-0.040011191630959786
1101	95-99	-0.08571100586633662
1101	100-104	-0.04802263140416585
1101	105-109	-0.02653756116614403
1101	110-114	-0.07778003992741844
1101	115-119	-0.1276450389232977
1101	120-124	-0.13098099926136086
1101	125-129	-0.03923334379479826
1101	130-134	-0.07810136861649397
1101	135-139	-0.051674497208722414
1101	140-144	-0.028430906511005105
1101	145-149	-0.05280556353895349
1101	150-151	-0.10473441435447484
1102	1	-0.10065652494064636
1102	2	-0.07588886413390838
1102	3	-0.0038370161380001377
1102	4	-0.11881248149584422
1102	5	-0.10376004900307123
1102	6	-0.05937063668011433
1102	7	-0.04978915221103364
1102	8	-0.039487836927634135
1102	9	-0.0811408961267972
1102	10-14	-0.05361531885458248
1102	15-19	-0.058508118836201106
1102	20-24	-0.03543861222049571
1102	25-29	-0.0318082763275882
1102	30-34	-0.05051866041701203
1102	35-39	-0.0650833518208529
1102	40-44	-0.06575304173538399
1102	45-49	-0.06407543869882915
1102	50-54	-0.05104614244847028
1102	55-59	-0.0768169865093924
1102	60-64	-0.06782424119390384
1102	65-69	-0.08797477152380395
1102	70-74	-0.06303238582643189
1102	75-79	-0.04348770207564456
1102	80-84	-0.036425648053857174
1102	85-89	-0.07604672898808218
1102	90-94	-0.08066148699045073
1102	95-99	-0.09133711067220673
1102	100-104	-0.04073045965779443
1102	105-109	-0.076202796106422
1102	110-114	-0.07642471250660776
1102	115-119	-0.10702945254100626
1102	120-124	-0.1271752085544975
1102	125-129	0.013775636843398331
1102	130-134	-0.042722127941367205
1102	135-139	-0.02431733769285671
1102	140-144	-0.05340910085734407
1102	145-149	-0.04027693528637144
1102	150-151	-0.07456197662422426
1103	1	-0.06025465741584668
1103	2	-0.058729788423988794
1103	3	-0.012973693171161926
1103	4	-0.0222672286907013
1103	5	-0.06348580912146673
1103	6	0.02960673015380877
1103	7	0.029484437477201197
1103	8	-0.029362219956070135
1103	9	-0.07508427675497131
1103	10-14	-0.01055972326058452
1103	15-19	-0.01139961806745049
1103	20-24	0.023101746493665587
1103	25-29	0.018872832541667606
